Title,Topic,Link
شاهد خاقان عباسي جو نالو اي سي ايل مان ڪڍڻ جو حڪم,عدالتون,https://dailysobh.com/archives/108793
جيڪو ٿئي پيو سو تڪليف ڏيندڙ آهي، پنجاب اسان جي اختيار ن جي دائري کان ٻاهر آهي:هاءِ ڪورٽ,عدالتون,https://dailysobh.com/archives/79976
سنڌ ثقافتي ورثي جو تحفظ ناهي ڪري سگهيو، مڪلي ۽ موھن جي دڙي ۾ تھ رڳو ڪتا پياگھمن: سپريم ڪورٽ,عدالتون,https://dailysobh.com/archives/79960
سپريم ڪورٽ پاران پوليس اهلڪار کي بحال ڪرڻ وارو فيصلو معطل,عدالتون,https://dailysobh.com/archives/79898
بينظير ڀٽو جي ورسي تي   سنڌ حڪومت  پاران اڄ  عام موڪل جو اعلان,عدالتون,https://dailysobh.com/archives/79895
سپريم ڪورٽ گهٽين ۽ پاڙن مان به والار هٽائڻ جو حڪم ڏئي ڇڏيو، ڪراچي ۾ نسلا ٽاور کان پوءِ تجوري هائٽس به غيرقانوني قرار,عدالتون,https://dailysobh.com/archives/79847
سنڌ هاءِ ڪورٽ جو ريلوي کاتي ۾ ڀرتين جي رپورٽ تي عدم اطمينان جو اظهار,عدالتون,https://dailysobh.com/archives/79820
سپريم ڪورٽ جو ڪني پاڻي جي نالن جي متاثرن لاءِ سنڌ حڪومت کي پنهنجوناڻو ڏيڻ جو حڪم,عدالتون,https://dailysobh.com/archives/79758
سپريم ڪورٽ پوري سنڌ ۾ ناجائز قبضا ۽ حد دخليون هٽائڻ جو حڪم ڏئي ڇڏيو,عدالتون,https://dailysobh.com/archives/79677
ڪابه عدالت يا جرڳو شرعي وراثتي قانون کي تبديل نٿو ڪري سگهي: جسٽس قاضي فائز عيسيٰ,عدالتون,https://dailysobh.com/archives/79641
سپريم ڪورٽ جي وفاق کان سنڌ حڪومت کي گهربل آفيسر ڏيارڻ جي هدايت,عدالتون,https://dailysobh.com/archives/79616
40 سالن کان اها حالت آهي،جيڪو  اچي ٿو  مال گڏ ڪري ڪينيڊا، لنڊن، آمريڪا هليو ٿو وڃي: چيف جسٽس,عدالتون,https://dailysobh.com/archives/79610
هٿياربند فوج کي رسڪ الائونس ڏيڻ جو ڪيس سپريم ڪورٽ بئنچ حوالي,عدالتون,https://dailysobh.com/archives/79199
سپريم ڪورٽ پاران پنجاب ۾ مڪاني ادارن جي بحالي ۾ دير جي جاچ ڪرائڻ جو فيصلو,عدالتون,https://dailysobh.com/archives/79163
پورهيتن جي گهٽ ۾ گهٽ پگهار 25  هزار ئي رهندي: سنڌ هاءِ ڪورٽ,عدالتون,https://dailysobh.com/archives/79089
سرڪاري اسپتالون قابل هجن ها ته پرائيويٽ نه کلن ها، ڊاڪٽرن کي سٺو پيڪيج ڇو نٿا ڏيو: هاءِ ڪورٽ,عدالتون,https://dailysobh.com/archives/79049
نيب آرڊيننس اسلام آباد هاءِ ڪورٽ ۾ چئلينج، ڌرين کي نوٽيس,عدالتون,https://dailysobh.com/archives/78904
نيب وارا ٿاڻي وانگر هلن ٿا، هر جوابدار کي جيل موڪلڻ چاهين ٿا: اسلام آباد هاءِ ڪورٽ,عدالتون,https://dailysobh.com/archives/78873
اسلام آباد ۽ لاهور موٽر وي ڇڏي باقي سمورا هاءِ ويز لاوارث آهن، معياري ڪم ناهي: چيف جسٽس,عدالتون,https://dailysobh.com/archives/78871
فوتي ڪوٽا قانون عجيب آهي، ايئن نٿو ٿي سگهي ته پيءُ جي فوت ٿيڻ کان پوءِ پٽ کي ڀرتي ڪيو: سپريم ڪورٽ,عدالتون,https://dailysobh.com/archives/78800
نيب پاران مريم نواز ۽ سندس مڙس محمد صفدر جون ضمانتون رد ڪرڻ لاءِ هاءِ ڪورٽ ۾ درخواست داخل,عدالتون,https://dailysobh.com/archives/78751
نيب ترميمي آرڊيننس 2021ع لاهور هاءِ ڪورٽ ۾ چئلينج ڪيو ويو آهي,عدالتون,https://dailysobh.com/archives/78495
فائيو جي ٽيڪنالاجي ۽ ڪورونا ويڪسين خلاف درخواست رد، ڏنڊ لاڳو,عدالتون,https://dailysobh.com/archives/78493
ڪرپشن وارا پئسا واپس ڪري ٻيهر  مقرر ٿيل 282 آفيسرن جي لسٽ سنڌ هاءِ ڪورٽ ۾ پيش,عدالتون,https://dailysobh.com/archives/78460
سنڌ هاءِ ڪورٽ پاران جوابدار جي موت واري سزا ڪالعدم قرار، آزادي جو حڪم,عدالتون,https://dailysobh.com/archives/78422
نيب مان سزا مليل ۽ ضمانت تي آزاد آفيسرن ۽ ملازمن کي عهدن تان جلد هٽائڻ جو حڪم,عدالتون,https://dailysobh.com/archives/78393
نيب ڪيسن کي منهن ڏيندڙ هٽايل آفيسرن جا تفصيل پيش ڪرڻ جو حڪم,عدالتون,https://dailysobh.com/archives/78377
ڪراچي ۾ پارڪنگ فيس ڪهڙي قانون تحت وٺو ٿا؟ ڀتا خوري بند ڪئي وڃي: سنڌ هاءِ ڪورٽ,عدالتون,https://dailysobh.com/archives/78222
اسلام آباد هاءِ ڪورٽ عثمان مرزا سميت 3 جوابدارن جي ضمانت رد ڪري ڇڏي,عدالتون,https://dailysobh.com/archives/78053
عدالتون چونڊيل نمائندن خلاف درخواستون ڇو ٻڌن: اسلام آباد هاءِ ڪورٽ,عدالتون,https://dailysobh.com/archives/77838
